,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
13,Doja Cat,Hot Pink,Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,0.879,0.498,4,-6.027,0,0.18,0,0.0967,0.405,106.044,163173,4
14,Princess Nokia,Everything Sucks,I Like Him,68UU9oaQtMDnh6PRlW842H,0.893,0.579,9,-8.995,1,0.113,0.000121,0.215,0.611,133.018,132453,4
15,Doja Cat,Hot Pink,Cyber Sex,1ghvzmzpx2nnrbx7wtpMgo,0.917,0.657,8,-5.716,1,0.0921,3.62e-06,0.0754,0.818,131.03,165733,4
16,BIA,FOR CERTAIN (Deluxe),BESITO (feat. G Herbo),1JTJws1FmfNRrF90bns0TT,0.841,0.394,1,-7.565,1,0.443,0,0.275,0.583,150.057,131224,4
17,BIA,FOR CERTAIN (Deluxe),COVER GIRL,4OcWKuWjiRHgPyQ8Tretgz,0.818,0.601,1,-4.805,1,0.138,0,0.128,0.294,113.365,149498,5
18,BIA,FOR CERTAIN (Deluxe),BIA BIA (feat. Lil Jon),4x1kiMfa2pErLo0HrU3oKl,0.734,0.793,5,-6.031,0,0.0891,0,0.203,0.427,160.002,125440,4
19,BIA,FOR CERTAIN,SKATE,5eeNzRV0twsDptfHslE7XR,0.885,0.513,0,-7.606,1,0.271,0.000152,0.118,0.378,153.046,162780,5
20,Nicki Minaj,Beam Me Up Scotty,Seeing Green (with Drake & Lil Wayne),1TZv3bujNaYz646eezRE91,0.573,0.867,5,-2.876,0,0.168,0,0.38,0.231,74.861,339506,4
21,Saweetie,Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],Best Friend (feat. Doja Cat),20BOju91NaEFK5Py4VJ2pp,0.84,0.766,4,-4.12,1,0.136,3.61e-06,0.0684,0.402,94.018,155884,4
22,Ariana Grande,Positions (Deluxe),"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",2sQH02O2HBCPJCztBrCWNa,0.659,0.662,5,-5.768,1,0.434,0,0.228,0.704,109.957,182438,4
23,Cardi B,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,1,-7.509,1,0.375,0,0.0824,0.357,133.073,187541,4
24,Nicki Minaj,Beam Me Up Scotty,Boss Ass Bitch (with PTAF) - Remix,7eLCcnhpYGH3Y6Pqrk68Gz,0.657,0.611,1,-7.899,1,0.491,0,0.469,0.408,140.151,248832,5
25,Saucy Santana,It's a Vibe,Walk,3YfrGk7UWFqxWeWfFp1sQE,0.937,0.684,10,-5.634,0,0.215,4.12e-05,0.0718,0.496,100.029,143977,4
26,Rico Nasty,Nightmare Vacation,Smack A Bitch,3Zm27XyCDoAqHMGte5ydxQ,0.705,0.699,2,-2.412,1,0.226,0,0.115,0.333,169.874,138353,4
27,Rico Nasty,Money (feat. Flo Milli),Money (feat. Flo Milli),2xo2fUrwrdOruV2zdNtWoP,0.808,0.768,8,-4.813,0,0.0499,0,0.372,0.554,124.011,150653,4
